               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.030075,           0.0071191,          5.2026e-05,            0.022555,                   0,                   0,                   0,                   0,                   0,            0.017552,                   0,                   0,            0.007927,            0.007927,            0.007927
                  36,            0.030956,           0.0071231,          5.4568e-05,            0.022606,                   0,                   0,                   0,                   0,                   0,            0.017182,                   0,                   0,            0.007816,            0.007816,            0.007816
                  37,            0.030135,           0.0068477,          5.2528e-05,            0.022536,                   0,                   0,                   0,                   0,                   0,            0.019916,                   0,                   0,           0.0077031,           0.0077031,           0.0077031
                  38,             0.02873,           0.0067593,          4.6362e-05,             0.02224,                   0,                   0,                   0,                   0,                   0,            0.018635,                   0,                   0,           0.0075886,           0.0075886,           0.0075886
                  39,            0.028031,           0.0066969,          4.5479e-05,            0.022166,                   0,                   0,                   0,                   0,                   0,            0.016926,                   0,                   0,           0.0074725,           0.0074725,           0.0074725
                  40,            0.028808,           0.0067375,           4.563e-05,            0.022135,                   0,                   0,                   0,                   0,                   0,            0.019156,                   0,                   0,            0.007355,            0.007355,            0.007355
                  41,            0.028449,           0.0065527,          4.4472e-05,            0.022063,                   0,                   0,                   0,                   0,                   0,            0.019001,                   0,                   0,           0.0072361,           0.0072361,           0.0072361
                  42,            0.027734,           0.0063131,          4.5553e-05,            0.022046,                   0,                   0,                   0,                   0,                   0,             0.01799,                   0,                   0,            0.007116,            0.007116,            0.007116
                  43,            0.027882,           0.0064848,          4.3281e-05,            0.021938,                   0,                   0,                   0,                   0,                   0,            0.019142,                   0,                   0,           0.0069948,           0.0069948,           0.0069948
                  44,            0.027109,            0.006301,          4.1089e-05,            0.021812,                   0,                   0,                   0,                   0,                   0,            0.018507,                   0,                   0,           0.0068726,           0.0068726,           0.0068726
                  45,            0.028432,           0.0065097,          4.3671e-05,            0.021868,                   0,                   0,                   0,                   0,                   0,            0.018993,                   0,                   0,           0.0067495,           0.0067495,           0.0067495
                  46,            0.027022,           0.0064389,          3.9773e-05,            0.021687,                   0,                   0,                   0,                   0,                   0,            0.018366,                   0,                   0,           0.0066257,           0.0066257,           0.0066257
                  47,            0.028101,           0.0064697,          4.1249e-05,            0.021704,                   0,                   0,                   0,                   0,                   0,            0.021311,                   0,                   0,           0.0065013,           0.0065013,           0.0065013
                  48,            0.026062,           0.0061471,          3.6836e-05,            0.021496,                   0,                   0,                   0,                   0,                   0,             0.01843,                   0,                   0,           0.0063764,           0.0063764,           0.0063764
                  49,            0.027016,           0.0061715,          3.6029e-05,            0.021412,                   0,                   0,                   0,                   0,                   0,            0.018462,                   0,                   0,           0.0062512,           0.0062512,           0.0062512
                  50,            0.026745,           0.0061707,          3.8431e-05,            0.021463,                   0,                   0,                   0,                   0,                   0,            0.018942,                   0,                   0,           0.0061256,           0.0061256,           0.0061256
                  51,            0.026897,            0.006359,          3.7681e-05,            0.021384,                   0,                   0,                   0,                   0,                   0,            0.019487,                   0,                   0,               0.006,               0.006,               0.006
                  52,            0.025149,           0.0060023,          3.4921e-05,            0.021287,                   0,                   0,                   0,                   0,                   0,            0.019337,                   0,                   0,           0.0058744,           0.0058744,           0.0058744
                  53,            0.025636,           0.0060803,          3.3826e-05,             0.02117,                   0,                   0,                   0,                   0,                   0,            0.022021,                   0,                   0,           0.0057488,           0.0057488,           0.0057488
                  54,            0.025485,           0.0059976,          3.3293e-05,            0.021098,                   0,                   0,                   0,                   0,                   0,             0.02011,                   0,                   0,           0.0056236,           0.0056236,           0.0056236
                  55,            0.024722,           0.0059482,          3.1168e-05,            0.020986,                   0,                   0,                   0,                   0,                   0,             0.02154,                   0,                   0,           0.0054987,           0.0054987,           0.0054987
                  56,            0.024384,           0.0057783,           2.914e-05,             0.02086,                   0,                   0,                   0,                   0,                   0,             0.02032,                   0,                   0,           0.0053743,           0.0053743,           0.0053743
                  57,             0.02432,           0.0057794,          2.8364e-05,            0.020768,                   0,                   0,                   0,                   0,                   0,            0.021269,                   0,                   0,           0.0052505,           0.0052505,           0.0052505
                  58,            0.025258,           0.0058886,          2.9938e-05,             0.02082,                   0,                   0,                   0,                   0,                   0,            0.020557,                   0,                   0,           0.0051274,           0.0051274,           0.0051274
                  59,            0.024734,           0.0057772,          3.0822e-05,            0.020836,                   0,                   0,                   0,                   0,                   0,            0.020177,                   0,                   0,           0.0050052,           0.0050052,           0.0050052
                  60,            0.023838,           0.0058443,          2.5124e-05,            0.020546,                   0,                   0,                   0,                   0,                   0,             0.02253,                   0,                   0,            0.004884,            0.004884,            0.004884
                  61,            0.024115,           0.0058278,          2.5493e-05,            0.020543,                   0,                   0,                   0,                   0,                   0,            0.022058,                   0,                   0,           0.0047639,           0.0047639,           0.0047639
                  62,            0.024225,           0.0057502,          2.7212e-05,            0.020535,                   0,                   0,                   0,                   0,                   0,            0.022901,                   0,                   0,            0.004645,            0.004645,            0.004645
                  63,            0.023708,           0.0057139,          2.5351e-05,            0.020433,                   0,                   0,                   0,                   0,                   0,            0.022026,                   0,                   0,           0.0045275,           0.0045275,           0.0045275
                  64,            0.023756,           0.0057008,          2.4879e-05,            0.020368,                   0,                   0,                   0,                   0,                   0,            0.022426,                   0,                   0,           0.0044114,           0.0044114,           0.0044114
                  65,            0.022824,           0.0056131,          2.3604e-05,            0.020311,                   0,                   0,                   0,                   0,                   0,            0.022501,                   0,                   0,           0.0042969,           0.0042969,           0.0042969
                  66,            0.022875,           0.0056163,          2.1791e-05,             0.02015,                   0,                   0,                   0,                   0,                   0,            0.019398,                   0,                   0,            0.004184,            0.004184,            0.004184
                  67,            0.023775,           0.0057883,          2.3638e-05,             0.02019,                   0,                   0,                   0,                   0,                   0,            0.022033,                   0,                   0,            0.004073,            0.004073,            0.004073
                  68,            0.023192,            0.005665,           2.294e-05,            0.020123,                   0,                   0,                   0,                   0,                   0,            0.021383,                   0,                   0,           0.0039638,           0.0039638,           0.0039638
                  69,            0.022882,           0.0055859,            2.03e-05,            0.019967,                   0,                   0,                   0,                   0,                   0,            0.023335,                   0,                   0,           0.0038567,           0.0038567,           0.0038567
                  70,            0.022418,           0.0054731,          1.9309e-05,            0.019916,                   0,                   0,                   0,                   0,                   0,            0.020673,                   0,                   0,           0.0037517,           0.0037517,           0.0037517
                  71,            0.022806,           0.0054675,          2.1441e-05,             0.01995,                   0,                   0,                   0,                   0,                   0,            0.023061,                   0,                   0,           0.0036489,           0.0036489,           0.0036489
                  72,            0.022711,           0.0055194,          1.9866e-05,            0.019836,                   0,                   0,                   0,                   0,                   0,            0.021302,                   0,                   0,           0.0035484,           0.0035484,           0.0035484
                  73,            0.021753,           0.0054499,          1.8875e-05,             0.01974,                   0,                   0,                   0,                   0,                   0,            0.023849,                   0,                   0,           0.0034503,           0.0034503,           0.0034503
                  74,            0.022016,           0.0054342,          1.7782e-05,            0.019627,                   0,                   0,                   0,                   0,                   0,             0.02278,                   0,                   0,           0.0033548,           0.0033548,           0.0033548
                  75,            0.022123,            0.005457,          1.7913e-05,            0.019623,                   0,                   0,                   0,                   0,                   0,            0.022229,                   0,                   0,           0.0032618,           0.0032618,           0.0032618
